District,Crop,Price Date,Crop Price (Rs per quintal)
Ariyalur,Banana,Jul-21,1875
Ariyalur,Banana,Aug-21,1855
Ariyalur,Banana,Sep-21,1900
Ariyalur,Banana,Nov-21,1730
Ariyalur,Banana,Nov-21,1770
Ariyalur,Banana,Jan-22,1870
Ariyalur,Banana,Feb-22,1805
Ariyalur,Banana,Mar-22,1855
Ariyalur,Banana,Apr-22,1905
Ariyalur,Banana,May-22,1790
Ariyalur,Banana,Jun-22,1820
Ariyalur,Banana,Jun-22,1895
Ariyalur,Banana,Jul-22,1830
Ariyalur,Banana,Aug-22,1805
Ariyalur,Banana,Sep-22,1760
Ariyalur,Banana,Oct-22,1780
Ariyalur,Banana,Oct-22,1770
Ariyalur,Banana,Nov-22,1810
Ariyalur,Banana,Dec-22,1795
Ariyalur,Banana,Jan-23,1825
Ariyalur,Banana,Feb-23,1845
Ariyalur,Banana,Mar-23,1865
Ariyalur,Banana,Mar-23,1745
Ariyalur,Bengal Gram,Feb-15,5560
Ariyalur,Bengal Gram,Feb-15,5500
Ariyalur,Bengal Gram,Feb-15,5550
Ariyalur,Bengal Gram,Mar-15,5435
Ariyalur,Bengal Gram,Mar-15,5405
Ariyalur,Bengal Gram,Mar-15,5520
Ariyalur,Bengal Gram,Mar-15,5450
Ariyalur,Bengal Gram,Mar-15,5505
Ariyalur,Bengal Gram,May-15,5540
Ariyalur,Bengal Gram,May-15,5540
Ariyalur,Bengal Gram,May-15,5480
Ariyalur,Bengal Gram,May-15,5485
Ariyalur,Bengal Gram,May-15,5530
Ariyalur,Bengal Gram,Jun-15,5565
Ariyalur,Bengal Gram,Jun-15,5415
Ariyalur,Bengal Gram,Jun-15,5405
Ariyalur,Bengal Gram,Jun-15,5520
Ariyalur,Bengal Gram,Jun-15,5470
Ariyalur,Bengal Gram,Jul-15,5405
Ariyalur,Bengal Gram,Jul-15,5440
Ariyalur,Bengal Gram,Jul-15,5460
Ariyalur,Bengal Gram,Jul-15,5460
Ariyalur,Bengal Gram,Jul-15,5465
Ariyalur,Bengal Gram,Aug-15,5470
Ariyalur,Bengal Gram,Aug-15,5540
Ariyalur,Bengal Gram,Aug-15,5400
Ariyalur,Bengal Gram,Aug-15,5525
Ariyalur,Bengal Gram,Sep-15,5455
Ariyalur,Bengal Gram,Sep-15,5400
Ariyalur,Bengal Gram,Sep-15,5465
Ariyalur,Bengal Gram,Sep-15,5405
Ariyalur,Bengal Gram,Sep-15,5410
Ariyalur,Bengal Gram,Sep-15,5525
Ariyalur,Bengal Gram,Oct-15,5595
Ariyalur,Bengal Gram,Oct-15,5455
Ariyalur,Bengal Gram,Oct-15,5470
Ariyalur,Bengal Gram,Oct-15,5505
Ariyalur,Bengal Gram,Oct-15,5435
Ariyalur,Bengal Gram,Oct-15,5455
Ariyalur,Bengal Gram,Nov-15,5490
Ariyalur,Bengal Gram,Nov-15,5420
Ariyalur,Bengal Gram,Nov-15,5445
Ariyalur,Bengal Gram,Nov-15,5545
Ariyalur,Bengal Gram,Nov-15,5505
Ariyalur,Bengal Gram,Nov-15,5555
Ariyalur,Bengal Gram,Dec-15,5585
Ariyalur,Bengal Gram,Dec-15,5545
Ariyalur,Bengal Gram,Dec-15,5510
Ariyalur,Bengal Gram,Dec-15,5455
Ariyalur,Bengal Gram,Dec-15,5415
Ariyalur,Bengal Gram,Dec-15,5405
Ariyalur,Bengal Gram,Jan-16,5495
Ariyalur,Bengal Gram,Jan-16,5595
Ariyalur,Bengal Gram,Jan-16,5490
Ariyalur,Bengal Gram,Feb-16,5590
Ariyalur,Bengal Gram,Feb-16,5405
Ariyalur,Bengal Gram,Feb-16,5470
Ariyalur,Bengal Gram,Feb-16,5480
Ariyalur,Bengal Gram,Feb-16,5455
Ariyalur,Bengal Gram,Mar-16,5475
Ariyalur,Bengal Gram,Mar-16,5585
Ariyalur,Bengal Gram,Mar-16,5510
Ariyalur,Bengal Gram,Mar-16,5570
Ariyalur,Bengal Gram,Mar-16,5425
Ariyalur,Bengal Gram,Apr-16,5575
Ariyalur,Bengal Gram,Apr-16,5420
Ariyalur,Bengal Gram,Apr-16,5580
Ariyalur,Bengal Gram,Apr-16,5415
Ariyalur,Bengal Gram,Apr-16,5590
Ariyalur,Bengal Gram,Apr-16,5560
Ariyalur,Bengal Gram,May-16,5430
Ariyalur,Bengal Gram,May-16,5580
Ariyalur,Bengal Gram,May-16,5505
Ariyalur,Bengal Gram,May-16,5505
Ariyalur,Bengal Gram,May-16,5405
Ariyalur,Bengal Gram,Jun-16,5490
Ariyalur,Bengal Gram,Jun-16,5455
Ariyalur,Bengal Gram,Jun-16,5510
Ariyalur,Bengal Gram,Jun-16,5435
Ariyalur,Bengal Gram,Jun-16,5455
Ariyalur,Bengal Gram,Jun-16,5590
Ariyalur,Bengal Gram,Jul-16,5400
Ariyalur,Bengal Gram,Jul-16,5405
Ariyalur,Bengal Gram,Jul-16,5540
Ariyalur,Bengal Gram,Jul-16,5580
Ariyalur,Bengal Gram,Aug-16,5440
Ariyalur,Bengal Gram,Aug-16,5590
Ariyalur,Bengal Gram,Sep-16,5575
Ariyalur,Bengal Gram,Sep-16,5535
Ariyalur,Bengal Gram,Sep-16,5400
Ariyalur,Bengal Gram,Oct-16,5435
Ariyalur,Bengal Gram,Oct-16,5400
Ariyalur,Bengal Gram,Oct-16,5530
Ariyalur,Bengal Gram,Oct-16,5480
Ariyalur,Bengal Gram,Nov-16,5425
Ariyalur,Bengal Gram,Nov-16,5530
Ariyalur,Bengal Gram,Dec-16,5460
Ariyalur,Bengal Gram,Feb-18,5470
Ariyalur,Bengal Gram,Feb-18,5490
Ariyalur,Bengal Gram,Feb-18,5545
Ariyalur,Bengal Gram,Mar-18,5420
Ariyalur,Bengal Gram,Mar-18,5590
Ariyalur,Bengal Gram,Mar-18,5510
Ariyalur,Bengal Gram,Apr-18,5465
Ariyalur,Bengal Gram,Apr-18,5530
Ariyalur,Bengal Gram,Apr-18,5460
Ariyalur,Bengal Gram,May-18,5505
Ariyalur,Bengal Gram,May-18,5495
Ariyalur,Bengal Gram,May-18,5440
Ariyalur,Bengal Gram,Jun-18,5545
Ariyalur,Bengal Gram,Aug-20,5440
Ariyalur,Bengal Gram,Mar-23,5495
Ariyalur,Black Gram,Jan-20,6370
Ariyalur,Black Gram,Jan-20,6250
Ariyalur,Black Gram,Jan-20,6350
Ariyalur,Black Gram,Feb-20,6400
Ariyalur,Black Gram,Feb-20,6400
Ariyalur,Black Gram,Feb-20,6310
Ariyalur,Black Gram,Mar-20,6330
Ariyalur,Black Gram,Mar-20,6375
Ariyalur,Black Gram,Mar-20,6300
Ariyalur,Black Gram,Apr-20,6290
Ariyalur,Black Gram,Apr-20,6240
Ariyalur,Black Gram,Apr-20,6390
Ariyalur,Black Gram,May-20,6360
Ariyalur,Black Gram,May-20,6305
Ariyalur,Black Gram,May-20,6405
Ariyalur,Black Gram,Jun-20,6275
Ariyalur,Black Gram,Jun-20,6245
Ariyalur,Black Gram,Jun-20,6265
Ariyalur,Black Gram,Jul-20,6385
Ariyalur,Black Gram,Jul-20,6225
Ariyalur,Black Gram,Jul-20,6335
Ariyalur,Black Gram,Aug-20,6245
Ariyalur,Black Gram,Aug-20,6300
Ariyalur,Black Gram,Sep-20,6370
Ariyalur,Black Gram,Sep-20,6290
Ariyalur,Black Gram,Sep-20,6260
Ariyalur,Black Gram,Oct-20,6230
Ariyalur,Black Gram,Oct-20,6370
Ariyalur,Black Gram,Oct-20,6375
Ariyalur,Black Gram,Nov-20,6250
Ariyalur,Black Gram,Nov-20,6280
Ariyalur,Black Gram,Nov-20,6310
Ariyalur,Black Gram,Dec-20,6405
Ariyalur,Black Gram,Dec-20,6255
Ariyalur,Black Gram,Dec-20,6360
Ariyalur,Black Gram,Jan-21,6350
Ariyalur,Black Gram,Feb-21,6325
Ariyalur,Black Gram,Feb-21,6230
Ariyalur,Black Gram,Feb-21,6315
Ariyalur,Black Gram,Mar-21,6245
Ariyalur,Black Gram,Mar-21,6230
Ariyalur,Black Gram,Mar-21,6285
Ariyalur,Black Gram,Apr-21,6335
Ariyalur,Black Gram,Apr-21,6355
Ariyalur,Black Gram,Apr-21,6325
Ariyalur,Black Gram,May-21,6250
Ariyalur,Black Gram,May-21,6230
Ariyalur,Black Gram,May-21,6250
Ariyalur,Black Gram,Jun-21,6360
Ariyalur,Black Gram,Jun-21,6340
Ariyalur,Black Gram,Jun-21,6295
Ariyalur,Black Gram,Jul-21,6325
Ariyalur,Black Gram,Jul-21,6250
Ariyalur,Black Gram,Aug-21,6255
Ariyalur,Black Gram,Aug-21,6350
Ariyalur,Black Gram,Aug-21,6320
Ariyalur,Black Gram,Sep-21,6280
Ariyalur,Black Gram,Sep-21,6225
Ariyalur,Black Gram,Sep-21,6400
Ariyalur,Black Gram,Oct-21,6360
Ariyalur,Black Gram,Oct-21,6330
Ariyalur,Black Gram,Nov-21,6315
Ariyalur,Black Gram,Nov-21,6345
Ariyalur,Black Gram,Dec-21,6375
Ariyalur,Black Gram,Dec-21,6275
Ariyalur,Black Gram,Jan-22,6325
Ariyalur,Black Gram,Jan-22,6365
Ariyalur,Black Gram,Jan-22,6270
Ariyalur,Black Gram,Feb-22,6270
Ariyalur,Black Gram,Feb-22,6335
Ariyalur,Black Gram,Feb-22,6230
Ariyalur,Black Gram,Mar-22,6375
Ariyalur,Black Gram,Mar-22,6340
Ariyalur,Black Gram,Mar-22,6250
Ariyalur,Black Gram,Apr-22,6320
Ariyalur,Black Gram,Apr-22,6330
Ariyalur,Black Gram,Apr-22,6390
Ariyalur,Black Gram,May-22,6330
Ariyalur,Black Gram,May-22,6335
Ariyalur,Black Gram,May-22,6305
Ariyalur,Black Gram,Jun-22,6270
Ariyalur,Black Gram,Jun-22,6365
Ariyalur,Black Gram,Jul-22,6285
Ariyalur,Black Gram,Jul-22,6345
Ariyalur,Black Gram,Jul-22,6365
Ariyalur,Black Gram,Aug-22,6315
Ariyalur,Black Gram,Aug-22,6345
Ariyalur,Black Gram,Aug-22,6290
Ariyalur,Black Gram,Sep-22,6385
Ariyalur,Black Gram,Sep-22,6310
Ariyalur,Black Gram,Sep-22,6385
Ariyalur,Black Gram,Oct-22,6325
Ariyalur,Black Gram,Oct-22,6300
Ariyalur,Black Gram,Nov-22,6385
Ariyalur,Black Gram,Nov-22,6245
Ariyalur,Black Gram,Nov-22,6255
Ariyalur,Black Gram,Dec-22,6250
Ariyalur,Black Gram,Dec-22,6390
Ariyalur,Black Gram,Dec-22,6235
Ariyalur,Black Gram,Jan-23,6300
Ariyalur,Black Gram,Jan-23,6265
Ariyalur,Black Gram,Jan-23,6365
Ariyalur,Black Gram,Feb-23,6300
Ariyalur,Black Gram,Feb-23,6245
Ariyalur,Black Gram,Feb-23,6355
Ariyalur,Black Gram,Mar-23,6375
Ariyalur,Black Gram,Mar-23,6380
Ariyalur,Black Gram,Mar-23,6310
Ariyalur,Maize,Jan-19,1950
Ariyalur,Maize,Jan-19,1900
Ariyalur,Maize,Jan-19,1835
Ariyalur,Maize,Feb-19,1865
Ariyalur,Maize,Feb-19,1850
Ariyalur,Maize,Mar-19,1920
Ariyalur,Maize,Mar-19,1795
Ariyalur,Maize,Apr-19,1770
Ariyalur,Maize,Apr-19,1760
Ariyalur,Maize,Apr-19,1890
Ariyalur,Maize,May-19,1780
Ariyalur,Maize,May-19,1880
Ariyalur,Maize,Jun-19,1795
Ariyalur,Maize,Jun-19,1945
Ariyalur,Maize,Jul-19,1885
Ariyalur,Maize,Jul-19,1940
Ariyalur,Maize,Aug-19,1810
Ariyalur,Maize,Aug-19,1755
Ariyalur,Maize,Aug-19,1855
Ariyalur,Maize,Sep-19,1805
Ariyalur,Maize,Sep-19,1775
Ariyalur,Maize,Oct-19,1915
Ariyalur,Maize,Oct-19,1905
Ariyalur,Maize,Nov-19,1795
Ariyalur,Maize,Nov-19,1815
Ariyalur,Maize,Dec-19,1940
Ariyalur,Maize,Dec-19,1790
Ariyalur,Maize,Dec-19,1785
Ariyalur,Maize,Jan-20,1910
Ariyalur,Maize,Jan-20,1830
Ariyalur,Maize,Feb-20,1950
Ariyalur,Maize,Feb-20,1825
Ariyalur,Maize,Mar-20,1785
Ariyalur,Maize,Mar-20,1910
Ariyalur,Maize,Apr-20,1890
Ariyalur,Maize,Apr-20,1755
Ariyalur,Maize,Apr-20,1760
Ariyalur,Maize,May-20,1765
Ariyalur,Maize,May-20,1945
Ariyalur,Maize,Jun-20,1925
Ariyalur,Maize,Jun-20,1840
Ariyalur,Maize,Jul-20,1845
Ariyalur,Maize,Jul-20,1760
Ariyalur,Maize,Aug-20,1940
Ariyalur,Maize,Aug-20,1920
Ariyalur,Maize,Aug-20,1895
Ariyalur,Maize,Sep-20,1925
Ariyalur,Maize,Sep-20,1810
Ariyalur,Maize,Oct-20,1850
Ariyalur,Maize,Oct-20,1885
Ariyalur,Maize,Nov-20,1815
Ariyalur,Maize,Nov-20,1860
Ariyalur,Maize,Dec-20,1915
Ariyalur,Maize,Dec-20,1875
Ariyalur,Maize,Dec-20,1945
Ariyalur,Maize,Jan-21,1930
Ariyalur,Maize,Jan-21,1850
Ariyalur,Maize,Feb-21,1870
Ariyalur,Maize,Feb-21,1830
Ariyalur,Maize,Mar-21,1765
Ariyalur,Maize,Mar-21,1920
Ariyalur,Maize,Mar-21,1770
Ariyalur,Maize,Apr-21,1770
Ariyalur,Maize,Apr-21,1895
Ariyalur,Maize,May-21,1810
Ariyalur,Maize,May-21,1910
Ariyalur,Maize,Jun-21,1780
Ariyalur,Maize,Jun-21,1910
Ariyalur,Maize,Jul-21,1915
Ariyalur,Maize,Jul-21,1790
Ariyalur,Maize,Jul-21,1795
Ariyalur,Maize,Aug-21,1910
Ariyalur,Maize,Aug-21,1885
Ariyalur,Maize,Sep-21,1920
Ariyalur,Maize,Sep-21,1840
Ariyalur,Maize,Oct-21,1865
Ariyalur,Maize,Oct-21,1755
Ariyalur,Maize,Nov-21,1880
Ariyalur,Maize,Nov-21,1805
Ariyalur,Maize,Nov-21,1880
Ariyalur,Maize,Dec-21,1845
Ariyalur,Maize,Dec-21,1840
Ariyalur,Maize,Jan-22,1775
Ariyalur,Maize,Jan-22,1835
Ariyalur,Maize,Feb-22,1940
Ariyalur,Maize,Feb-22,1880
Ariyalur,Maize,Feb-22,1840
Ariyalur,Maize,Mar-22,1850
Ariyalur,Maize,Mar-22,1920
Ariyalur,Maize,Apr-22,1765
Ariyalur,Maize,Apr-22,1915
Ariyalur,Maize,May-22,1835
Ariyalur,Maize,May-22,1845
Ariyalur,Maize,Jun-22,1765
Ariyalur,Maize,Jun-22,1845
Ariyalur,Maize,Jun-22,1850
Ariyalur,Maize,Jul-22,1815
Ariyalur,Maize,Jul-22,1850
Ariyalur,Maize,Aug-22,1925
Ariyalur,Maize,Aug-22,1855
Ariyalur,Maize,Sep-22,1875
Ariyalur,Maize,Sep-22,1755
Ariyalur,Maize,Oct-22,1840
Ariyalur,Maize,Oct-22,1790
Ariyalur,Maize,Oct-22,1920
Ariyalur,Maize,Nov-22,1900
Ariyalur,Maize,Nov-22,1860
Ariyalur,Maize,Dec-22,1820
Ariyalur,Maize,Dec-22,1770
Ariyalur,Maize,Jan-23,1855
Ariyalur,Maize,Jan-23,1860
Ariyalur,Maize,Feb-23,1915
Ariyalur,Maize,Feb-23,1855
Ariyalur,Maize,Feb-23,1790
Ariyalur,Maize,Mar-23,1900
Ariyalur,Maize,Mar-23,1925
Ariyalur,Rice,Apr-10,1315
Ariyalur,Rice,Sep-10,1280
Ariyalur,Rice,Apr-11,1440
Ariyalur,Rice,Jul-11,1305
Ariyalur,Rice,Jun-12,1365
Ariyalur,Rice,Oct-12,1295
Ariyalur,Rice,Dec-12,1440
Ariyalur,Rice,Dec-12,1365
Ariyalur,Rice,Mar-13,1385
Ariyalur,Rice,Jul-13,1370
Ariyalur,Rice,Aug-13,1325
Ariyalur,Rice,Nov-13,1295
Ariyalur,Rice,Feb-14,1400
Ariyalur,Rice,Mar-14,1460
Ariyalur,Rice,Dec-14,1400
Ariyalur,Rice,Feb-15,1425
Ariyalur,Rice,May-15,1320
Ariyalur,Rice,May-15,1405
Ariyalur,Rice,Feb-16,1425
Ariyalur,Rice,Oct-16,1285
Ariyalur,Rice,Jan-17,1310
Ariyalur,Rice,Feb-17,1290
Ariyalur,Rice,Mar-17,1285
Ariyalur,Rice,Mar-17,1395
Ariyalur,Rice,Apr-17,1285
Ariyalur,Rice,Apr-17,1320
Ariyalur,Rice,Apr-17,1425
Ariyalur,Rice,May-17,1290
Ariyalur,Rice,Jun-17,1325
Ariyalur,Rice,Jul-17,1475
Ariyalur,Rice,Jul-17,1345
Ariyalur,Rice,Aug-17,1455
Ariyalur,Rice,Aug-17,1420
Ariyalur,Rice,Sep-17,1405
Ariyalur,Rice,Oct-17,1295
Ariyalur,Rice,Oct-17,1385
Ariyalur,Rice,Oct-17,1470
Ariyalur,Rice,Nov-17,1370
Ariyalur,Rice,Nov-17,1425
Ariyalur,Rice,Dec-17,1385
Ariyalur,Rice,Dec-17,1360
Ariyalur,Rice,Jan-18,1345
Ariyalur,Rice,Jan-18,1390
Ariyalur,Rice,Jan-18,1440
Ariyalur,Rice,Feb-18,1400
Ariyalur,Rice,Feb-18,1400
Ariyalur,Rice,Feb-18,1315
Ariyalur,Rice,Feb-18,1325
Ariyalur,Rice,Mar-18,1290
Ariyalur,Rice,Mar-18,1280
Ariyalur,Rice,Mar-18,1465
Ariyalur,Rice,Apr-18,1460
Ariyalur,Rice,Apr-18,1425
Ariyalur,Rice,May-18,1420
Ariyalur,Rice,Jun-18,1440
Ariyalur,Rice,Jul-18,1385
Ariyalur,Rice,Jul-18,1435
Ariyalur,Rice,Jul-18,1280
Ariyalur,Rice,Aug-18,1395
Ariyalur,Rice,Aug-18,1280
Ariyalur,Rice,Oct-18,1315
Ariyalur,Rice,Oct-18,1475
Ariyalur,Rice,Oct-18,1475
Ariyalur,Rice,Nov-18,1450
Ariyalur,Rice,Dec-18,1290
Ariyalur,Rice,Jan-19,1300
Ariyalur,Rice,Jan-19,1385
Ariyalur,Rice,Jan-19,1315
Ariyalur,Rice,Feb-19,1435
Ariyalur,Rice,Feb-19,1415
Ariyalur,Rice,Feb-19,1290
Ariyalur,Rice,Feb-19,1370
Ariyalur,Rice,Mar-19,1290
Ariyalur,Rice,Apr-19,1355
Ariyalur,Rice,Apr-19,1405
Ariyalur,Rice,May-19,1385
Ariyalur,Rice,May-19,1360
Ariyalur,Rice,May-19,1415
Ariyalur,Rice,Jun-19,1310
Ariyalur,Rice,Jul-19,1310
Ariyalur,Rice,Jul-19,1425
Ariyalur,Rice,Jul-19,1355
Ariyalur,Rice,Aug-19,1405
Ariyalur,Rice,Aug-19,1345
Ariyalur,Rice,Sep-19,1440
Ariyalur,Rice,Sep-19,1460
Ariyalur,Rice,Oct-19,1435
Ariyalur,Rice,Oct-19,1410
Ariyalur,Rice,Oct-19,1445
Ariyalur,Rice,Nov-19,1355
Ariyalur,Rice,Nov-19,1360
Ariyalur,Rice,Dec-19,1305
Ariyalur,Rice,Dec-19,1355
Ariyalur,Rice,Feb-20,1375
Ariyalur,Rice,Feb-20,1435
Ariyalur,Rice,Aug-20,1470
Ariyalur,Rice,Sep-20,1315
Ariyalur,Rice,Nov-20,1300
Ariyalur,Rice,Jan-21,1450
Ariyalur,Rice,Mar-21,1295
Ariyalur,Rice,Mar-21,1435
Ariyalur,Rice,Aug-21,1290
Ariyalur,Rice,Nov-21,1405
Ariyalur,Rice,Apr-22,1360
Ariyalur,Rice,May-22,1455
Ariyalur,Rice,Aug-22,1355
Ariyalur,Rice,Sep-22,1330
Ariyalur,Rice,Dec-22,1435
Chennai,Coconut,Jan-19,2625
Chennai,Coconut,Jan-19,2605
Chennai,Coconut,Feb-19,2535
Chennai,Coconut,Feb-19,2720
Chennai,Coconut,Mar-19,2635
Chennai,Coconut,Mar-19,2685
Chennai,Coconut,Apr-19,2685
Chennai,Coconut,Apr-19,2620
Chennai,Coconut,May-19,2630
Chennai,Coconut,May-19,2610
Chennai,Coconut,Jun-19,2565
Chennai,Coconut,Jun-19,2635
Chennai,Coconut,Jul-19,2590
Chennai,Coconut,Jul-19,2640
Chennai,Coconut,Aug-19,2710
Chennai,Coconut,Aug-19,2570
Chennai,Coconut,Sep-19,2640
Chennai,Coconut,Sep-19,2615
Chennai,Coconut,Oct-19,2625
Chennai,Coconut,Oct-19,2675
Chennai,Coconut,Nov-19,2560
Chennai,Coconut,Nov-19,2540
Chennai,Coconut,Dec-19,2610
Chennai,Coconut,Dec-19,2670
Chennai,Coconut,Jan-20,2615
Chennai,Coconut,Jan-20,2610
Chennai,Coconut,Feb-20,2565
Chennai,Coconut,Feb-20,2620
Chennai,Coconut,Mar-20,2560
Chennai,Coconut,Mar-20,2695
Chennai,Coconut,Apr-20,2720
Chennai,Coconut,Apr-20,2665
Chennai,Coconut,May-20,2555
Chennai,Coconut,May-20,2635
Chennai,Coconut,Jun-20,2690
Chennai,Coconut,Jun-20,2600
Chennai,Coconut,Jul-20,2660
Chennai,Coconut,Jul-20,2655
Chennai,Coconut,Aug-20,2575
Chennai,Coconut,Aug-20,2550
Chennai,Coconut,Sep-20,2590
Chennai,Coconut,Sep-20,2695
Chennai,Coconut,Oct-20,2635
Chennai,Coconut,Oct-20,2670
Chennai,Coconut,Nov-20,2670
Chennai,Coconut,Nov-20,2675
Chennai,Coconut,Dec-20,2620
Chennai,Coconut,Dec-20,2565
Chennai,Coconut,Jan-21,2630
Chennai,Coconut,Jan-21,2630
Chennai,Coconut,Feb-21,2610
Chennai,Coconut,Feb-21,2600
Chennai,Coconut,Mar-21,2670
Chennai,Coconut,Mar-21,2660
Chennai,Coconut,Apr-21,2545
Chennai,Coconut,Apr-21,2640
Chennai,Coconut,May-21,2535
Chennai,Coconut,May-21,2580
Chennai,Coconut,Jun-21,2695
Chennai,Coconut,Jul-21,2575
Chennai,Coconut,Jul-21,2625
Chennai,Coconut,Aug-21,2660
Chennai,Coconut,Aug-21,2560
Chennai,Coconut,Sep-21,2625
Chennai,Coconut,Sep-21,2600
Chennai,Coconut,Oct-21,2535
Chennai,Coconut,Oct-21,2565
Chennai,Coconut,Nov-21,2540
Chennai,Coconut,Nov-21,2635
Chennai,Coconut,Dec-21,2575
Chennai,Coconut,Dec-21,2600
Chennai,Coconut,Jan-22,2605
Chennai,Coconut,Jan-22,2635
Chennai,Coconut,Feb-22,2560
Chennai,Coconut,Feb-22,2610
Chennai,Coconut,Mar-22,2695
Chennai,Coconut,Mar-22,2600
Chennai,Coconut,Apr-22,2620
Chennai,Coconut,Apr-22,2635
Chennai,Coconut,May-22,2685
Chennai,Coconut,May-22,2620
Chennai,Coconut,Jun-22,2690
Chennai,Coconut,Jun-22,2630
Chennai,Coconut,Jul-22,2595
Chennai,Coconut,Jul-22,2590
Chennai,Coconut,Aug-22,2590
Chennai,Coconut,Aug-22,2630
Chennai,Coconut,Sep-22,2645
Chennai,Coconut,Sep-22,2635
Chennai,Coconut,Oct-22,2525
Chennai,Coconut,Oct-22,2590
Chennai,Coconut,Nov-22,2680
Chennai,Coconut,Nov-22,2550
Chennai,Coconut,Dec-22,2640
Chennai,Coconut,Dec-22,2715
Chennai,Coconut,Jan-23,2680
Chennai,Coconut,Feb-23,2680
Chennai,Coconut,Feb-23,2545
Chennai,Coconut,Feb-23,2645
Chennai,Coconut,Mar-23,2670
Coimbatore,Banana,Jan-15,1800
Coimbatore,Banana,Jan-15,1895
Coimbatore,Banana,Feb-15,1820
Coimbatore,Banana,Mar-15,1825
Coimbatore,Banana,Apr-15,1875
Coimbatore,Banana,May-15,1790
Coimbatore,Banana,Jun-15,1890
Coimbatore,Banana,Jun-15,1810
Coimbatore,Banana,Jul-15,1950
Coimbatore,Banana,Aug-15,1870
Coimbatore,Banana,Sep-15,1945
Coimbatore,Banana,Oct-15,1865
Coimbatore,Banana,Oct-15,1870
Coimbatore,Banana,Nov-15,1865
Coimbatore,Banana,Dec-15,1840
Coimbatore,Banana,Jan-16,1805
Coimbatore,Banana,Feb-16,1805
Coimbatore,Banana,Mar-16,1950
Coimbatore,Banana,Mar-16,1965
Coimbatore,Banana,Apr-16,1915
Coimbatore,Banana,May-16,1955
Coimbatore,Banana,Jun-16,1785
